Name,Age,Club Level,Minutes Played,Goals Against,Shots on target Against,Saves,Save perc,Penalty saved,Clean Sheets,Games Missed,Transfer Value
Josep Martinez,27,1,3239,43,130,87,69.2,1,8,0,6.4
Rui Patricio,37,1,2070,27,74,49,66.2,0,6,0,0.9
Marco Carnesecchi,24,1,2425,30,107,75,75.7,2,8,0,12.8
Michele Di Gregorio,27,1,2872,35,159,122,79.9,2,12,8,14.4
Mattia Perin,32,1,225,1,5,4,80,0,1,5,2.4
Carlo Pinsoglio,35,1,45,0,3,3,100,0,1,0,0.2
Mile Svilar,25,1,1350,19,77,58,76.6,1,5,0,7.2
Pierluigi Gollini,30,1,630,8,24,16,66.7,0,1,12,3.2
David De Gea,34,2,3420,43,142,99,71.1,1,17,0,10.4
Tommaso Martinelli,19,2,90,2,3,1,33.3,0,0,0,0.8
Ivan Provedel,31,2,2699,33,119,86,73.9,0,9,12,11.2
Christos Mandas,23,2,721,6,29,23,79.3,0,4,2,2.4
Mike Maignan,29,1,2609,34,120,86,77.5,0,10,10,30.4
Marco Sportiello,33,1,630,11,33,23,69.7,0,2,18,1.2
Lukasz Skorupski,34,2,2880,29,106,77,75.5,1,13,0,2.8
Federico Ravaglia,25,2,535,3,18,13,83.3,1,4,0,0.8
Jean Butez,29,3,2700,27,97,71,77.3,0,12,11,6.4
Mauro Vigorito,35,3,22,0,1,1,100,0,1,0,0.12
